LAST SEEN             TYPE      REASON                   OBJECT                                  MESSAGE
57m                   Normal    Killing                  Pod/cilium-fwpql                        Stopping container cilium-agent
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-sbz22
57m                   Normal    Killing                  Pod/cilium-9x2mp                        Stopping container cilium-agent
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-g8nx9
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-r754d
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-9qvc6
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-dgnb4
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-b54lh
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-8f5jf
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-qrt92
57m                   Normal    Killing                  Pod/cilium-vmzmh                        Stopping container cilium-agent
57m                   Normal    Killing                  Pod/cilium-trtjv                        Stopping container cilium-agent
57m                   Normal    Killing                  Pod/cilium-sd8bk                        Stopping container cilium-agent
57m                   Normal    Killing                  Pod/cilium-fvq72                        Stopping container cilium-agent
57m                   Normal    Killing                  Pod/cilium-p7r6h                        Stopping container cilium-agent
57m                   Normal    SuccessfulCreate         DaemonSet/cilium                        Created pod: cilium-2hgp6
57m                   Normal    SuccessfulCreate         ReplicaSet/cilium-operator-5bd5fbd99d   Created pod: cilium-operator-5bd5fbd99d-pwspd
57m                   Normal    Killing                  Pod/cilium-operator-5bd5fbd99d-7csqf    Stopping container cilium-operator
57m                   Normal    Killing                  Pod/cilium-kz7rs                        Stopping container cilium-agent
57m                   Normal    Killing                  Pod/cilium-mwcb8                        Stopping container cilium-agent
57m                   Normal    Scheduled                Pod/cilium-qrt92                        Successfully assigned kube-system/cilium-qrt92 to robotics-dev-worker5
57m                   Normal    Scheduled                Pod/cilium-operator-5bd5fbd99d-pwspd    Successfully assigned kube-system/cilium-operator-5bd5fbd99d-pwspd to robotics-dev-worker2
57m                   Normal    Scheduled                Pod/cilium-8f5jf                        Successfully assigned kube-system/cilium-8f5jf to robotics-dev-worker2
